method,metric,n,mean,sd,ci95_low,ci95_high
Independent-threshold logistic,canonical_accuracy,30,0.5288916666666666,0.008841683052191048,0.5255901279557085,0.5321932053776248
Independent-threshold logistic,canonical_macro_f1,30,0.5134082562577466,0.012384824157388532,0.5087836869147078,0.5180328256007853
Independent-threshold logistic,canonical_log_loss,30,1.0034758773842885,0.011403841215995584,0.9992176130916207,1.007734141676956
Independent-threshold logistic,canonical_ece,30,0.02932103802290783,0.009090560363735128,0.025926566996519188,0.03271550904929647
Operator-aware logistic EM,canonical_accuracy,30,0.5277666666666666,0.009072251491577853,0.5243790322854986,0.5311543010478346
Operator-aware logistic EM,canonical_macro_f1,30,0.5057897670593179,0.012205768482815326,0.5012320582039861,0.5103474759146497
Operator-aware logistic EM,canonical_log_loss,30,0.998710776168474,0.009477003476567337,0.9951720049122459,1.0022495474247022
Operator-aware logistic EM,canonical_ece,30,0.02568153898999871,0.006822152747632742,0.02313410528813151,0.028228972691865906
Oracle-label TAN,canonical_accuracy,30,0.5334249999999999,0.008648337990619924,0.5301956575215442,0.5366543424784557
Oracle-label TAN,canonical_macro_f1,30,0.5144403329848384,0.010379375141527387,0.5105646106112776,0.5183160553583992
Oracle-label TAN,canonical_log_loss,30,0.9924474143995191,0.008501167774833436,0.9892730261827861,0.9956218026162521
Oracle-label TAN,canonical_ece,30,0.018907863642906933,0.006697906649520705,0.01640682419654302,0.021408903089270848
PLA-BN (Naive Bayes),canonical_accuracy,30,0.4377666666666667,0.01758696781089933,0.4311995849591097,0.4443337483742237
PLA-BN (Naive Bayes),canonical_macro_f1,30,0.4191055559803566,0.02243272766696849,0.41072903780528736,0.42748207415542583
PLA-BN (Naive Bayes),canonical_log_loss,30,2.5454383141642727,0.29886957840851963,2.4338385794962254,2.65703804883232
PLA-BN (Naive Bayes),canonical_ece,30,0.2936621533041357,0.012620907028166591,0.28894942916836486,0.29837487743990654
PLA-BN (TAN),canonical_accuracy,30,0.52495,0.008734197553098486,0.5216885970340155,0.5282114029659846
PLA-BN (TAN),canonical_macro_f1,30,0.5050535831628711,0.012123363592732354,0.5005266447991951,0.5095805215265471
PLA-BN (TAN),canonical_log_loss,30,1.0039811898010724,0.01050617542974664,1.000058119421748,1.007904260180397
PLA-BN (TAN),canonical_ece,30,0.032122495990200416,0.008571659983644422,0.028921785550103753,0.03532320643029708
Representative-label TAN,canonical_accuracy,30,0.3760166666666667,0.007804710484516797,0.37310233987612784,0.3789309934572056
Representative-label TAN,canonical_macro_f1,30,0.31907785021836266,0.012258697199069113,0.3145003774555709,0.3236553229811544
Representative-label TAN,canonical_log_loss,30,1.2167456483234627,0.012286489664373899,1.2121577976835705,1.2213334989633549
Representative-label TAN,canonical_ece,30,0.19281107386953703,0.00953591399380069,0.1892503050646544,0.19637184267441965
