replicate,method,new_definition_accuracy,new_definition_log_loss
0,PLA-BN (TAN),0.6515,0.706234167147721
0,PLA-BN (Naive Bayes),0.58775,0.96228298604076
0,Representative-label TAN,0.527,0.9316453315368451
0,Oracle-label TAN,0.6615,0.6995989963173924
0,Operator-aware logistic EM,0.666,0.7035972620391138
0,Independent-threshold logistic,0.6595,0.7084425022286767
1,PLA-BN (TAN),0.6815,0.6823227483153705
1,PLA-BN (Naive Bayes),0.523,1.989153629052816
1,Representative-label TAN,0.5445,0.9053881888713704
1,Oracle-label TAN,0.68175,0.6739598093412817
1,Operator-aware logistic EM,0.682,0.6830517801599133
1,Independent-threshold logistic,0.6765,0.6838303331541038
2,PLA-BN (TAN),0.6505,0.7120193586135122
2,PLA-BN (Naive Bayes),0.587,0.9680391722498491
2,Representative-label TAN,0.5315,0.912343549068606
2,Oracle-label TAN,0.65625,0.7065645153884936
2,Operator-aware logistic EM,0.65175,0.7145538025997689
2,Independent-threshold logistic,0.65425,0.7210608636498299
3,PLA-BN (TAN),0.65575,0.6956287935777786
3,PLA-BN (Naive Bayes),0.48425,2.0659254944602994
3,Representative-label TAN,0.53725,0.905636789349694
3,Oracle-label TAN,0.66175,0.6856550544637128
3,Operator-aware logistic EM,0.6565,0.6900530199684697
3,Independent-threshold logistic,0.6575,0.6941947719617517
4,PLA-BN (TAN),0.66675,0.7004252884615817
4,PLA-BN (Naive Bayes),0.50175,2.075518077090953
4,Representative-label TAN,0.55,0.9169627187899574
4,Oracle-label TAN,0.66675,0.6968089026985269
4,Operator-aware logistic EM,0.66775,0.6995064417009579
4,Independent-threshold logistic,0.66825,0.7028928159209016
5,PLA-BN (TAN),0.6545,0.709375932895968
5,PLA-BN (Naive Bayes),0.596,0.9554864377478818
5,Representative-label TAN,0.51775,0.940397770946374
5,Oracle-label TAN,0.6535,0.705840551419169
5,Operator-aware logistic EM,0.65225,0.7066974508677493
5,Independent-threshold logistic,0.65675,0.71003239578615
6,PLA-BN (TAN),0.66625,0.6930390398144033
6,PLA-BN (Naive Bayes),0.596,0.94157652173382
6,Representative-label TAN,0.5345,0.9054684047494982
6,Oracle-label TAN,0.67125,0.6881933994459233
6,Operator-aware logistic EM,0.67,0.6915441547547304
6,Independent-threshold logistic,0.67125,0.6938318351604595
7,PLA-BN (TAN),0.66425,0.6978957149503723
7,PLA-BN (Naive Bayes),0.531,2.027214744390212
7,Representative-label TAN,0.52975,0.9091052549865728
7,Oracle-label TAN,0.66325,0.6908308435977187
7,Operator-aware logistic EM,0.663,0.6942790323578931
7,Independent-threshold logistic,0.6655,0.6969499731810924
8,PLA-BN (TAN),0.66625,0.7013493210303857
8,PLA-BN (Naive Bayes),0.5105,2.204995445714411
8,Representative-label TAN,0.53475,0.8972739734034756
8,Oracle-label TAN,0.66625,0.6968877005515263
8,Operator-aware logistic EM,0.67025,0.7000564810864806
8,Independent-threshold logistic,0.668,0.7020151063021348
9,PLA-BN (TAN),0.6755,0.6807436051136965
9,PLA-BN (Naive Bayes),0.60125,0.9316069263329833
9,Representative-label TAN,0.55325,0.8843120428490263
9,Oracle-label TAN,0.6735,0.6767628087961602
9,Operator-aware logistic EM,0.6795,0.6802648248518639
9,Independent-threshold logistic,0.679,0.6813106489562176
10,PLA-BN (TAN),0.6525,0.702921283415331
10,PLA-BN (Naive Bayes),0.574,0.9895908066095804
10,Representative-label TAN,0.533,0.9027259468481252
10,Oracle-label TAN,0.65275,0.6995907218717881
