method,metric,n,mean,sd,ci95_low,ci95_high
Independent-threshold logistic,new_definition_accuracy,30,0.6629,0.008235645819786419,0.6598247593107256,0.6659752406892745
Independent-threshold logistic,new_definition_log_loss,30,0.7011940116732153,0.0090070926510482,0.6978307080029651,0.7045573153434654
Operator-aware logistic EM,new_definition_accuracy,30,0.6627583333333332,0.008776802136719646,0.6594810215543705,0.666035645112296
Operator-aware logistic EM,new_definition_log_loss,30,0.6976034208259143,0.008283673939110862,0.6945102461421472,0.7006965955096814
Oracle-label TAN,new_definition_accuracy,30,0.6633583333333334,0.00747947862987204,0.6605654501131881,0.6661512165534786
Oracle-label TAN,new_definition_log_loss,30,0.6944358810626873,0.009004992523611541,0.6910733615929099,0.6977984005324647
PLA-BN (Naive Bayes),new_definition_accuracy,30,0.5548416666666667,0.036660516399031784,0.5411524048665473,0.5685309284667861
PLA-BN (Naive Bayes),new_definition_log_loss,30,1.3952914537951284,0.5415743803556582,1.1930642566593603,1.5975186509308965
PLA-BN (TAN),new_definition_accuracy,30,0.6613749999999999,0.00898388163937753,0.658020363463948,0.6647296365360519
PLA-BN (TAN),new_definition_log_loss,30,0.6996852870616092,0.009178557884191382,0.6962579572210627,0.7031126169021557
Representative-label TAN,new_definition_accuracy,30,0.5367916666666666,0.010114875383463139,0.5330147101259379,0.5405686232073952
Representative-label TAN,new_definition_log_loss,30,0.9109978760920894,0.015243135387750715,0.9053059957948687,0.91668975638931
