repeat,fold,split_id,n_train,n_test,environment_sizes,operator_rank,operator_condition_number,proposed_converged,termination_reason,iterations,best_start,canonical_labels_used_for_proposed_fit,outer_test_used_for_preprocessing
1,1,R1F1,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,14,2,False,False
1,2,R1F2,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,30,2,False,False
1,3,R1F3,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,29,0,False,False
1,4,R1F4,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,22,0,False,False
1,5,R1F5,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,16,0,False,False
2,1,R2F1,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,19,1,False,False
2,2,R2F2,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,22,2,False,False
2,3,R2F3,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,18,2,False,False
2,4,R2F4,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,24,1,False,False
2,5,R2F5,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,16,1,False,False
3,1,R3F1,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,19,1,False,False
3,2,R3F2,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,16,2,False,False
3,3,R3F3,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,23,1,False,False
3,4,R3F4,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,17,2,False,False
3,5,R3F5,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,35,2,False,False
4,1,R4F1,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,22,2,False,False
4,2,R4F2,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,26,2,False,False
4,3,R4F3,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,26,2,False,False
4,4,R4F4,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,16,1,False,False
4,5,R4F5,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,19,0,False,False
5,1,R5F1,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,18,1,False,False
5,2,R5F2,4009,1003,"[2673, 1336]",3,2.414213562373096,True,tolerance,23,2,False,False
5,3,R5F3,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,21,0,False,False
5,4,R5F4,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,17,1,False,False
5,5,R5F5,4010,1002,"[2673, 1337]",3,2.414213562373096,True,tolerance,15,0,False,False
