repeat,fold,split_id,evaluation,method,accuracy,balanced_accuracy,macro_f1,log_loss,brier
1,1,R1F1,canonical_bp_severity,GALIATSATOS/PLA-BN TAN,0.5812562313060817,0.4100839649890111,0.4058867432218719,0.9710548414435706,0.5474879467910916
1,1,R1F1,transport_ACC_AHA_130_80,GALIATSATOS/PLA-BN TAN,0.650049850448654,0.6272497932175352,0.6287962261007645,0.6132461492138892,0.4272289750699036
1,1,R1F1,transport_ESC_140_90,GALIATSATOS/PLA-BN TAN,0.7786640079760718,0.5434321358938743,0.5446949992638759,0.4869019955684677,0.3121463932008009
1,1,R1F1,canonical_bp_severity,Operator-aware logistic EM,0.6041874376869392,0.4116756276821388,0.3950737172609713,0.857056395439765,0.5022562865252799
1,1,R1F1,transport_ACC_AHA_130_80,Operator-aware logistic EM,0.6759720837487537,0.6468796526054591,0.6494262948292866,0.5889928220074517,0.4071565521690746
1,1,R1F1,transport_ESC_140_90,Operator-aware logistic EM,0.8015952143569293,0.5184617639188001,0.494031458737341,0.4292784618601722,0.2774274141566737
1,1,R1F1,canonical_bp_severity,Oracle-label logistic,0.5992023928215354,0.4009530738749404,0.3667434715821813,0.8558998527612119,0.5032868430677242
1,1,R1F1,transport_ACC_AHA_130_80,Oracle-label logistic,0.6769690927218345,0.644454094292804,0.646830985915493,0.5916125549581565,0.4086833599949682
1,1,R1F1,transport_ESC_140_90,Oracle-label logistic,0.7966101694915254,0.527127164757305,0.5137362637362637,0.4283359371357321,0.2788140152263466
1,2,R1F2,canonical_bp_severity,GALIATSATOS/PLA-BN TAN,0.5732801595214357,0.3893379389752447,0.3840154247764086,1.0011106741495472,0.5543692803408736
1,2,R1F2,transport_ACC_AHA_130_80,GALIATSATOS/PLA-BN TAN,0.6321036889332003,0.6053246484698098,0.6064671713063532,0.635152966011789,0.447631649386454
1,2,R1F2,transport_ESC_140_90,GALIATSATOS/PLA-BN TAN,0.7976071784646062,0.5471086803556579,0.5470252039520082,0.4787136704919778,0.3026333871275596
1,2,R1F2,canonical_bp_severity,Operator-aware logistic EM,0.5992023928215354,0.3998819804260218,0.384445475639412,0.8616059191393621,0.5039729213502929
1,2,R1F2,transport_ACC_AHA_130_80,Operator-aware logistic EM,0.6689930209371885,0.6361579818031431,0.6381107633455051,0.5941707075162889,0.4109635072288255
1,2,R1F2,transport_ESC_140_90,Operator-aware logistic EM,0.8045862412761715,0.5297223821403442,0.5150573283602707,0.4237030574386092,0.2729395386354856
1,2,R1F2,canonical_bp_severity,Oracle-label logistic,0.5952143569292123,0.395683033144173,0.3632050248972086,0.8575423180242523,0.5044120200918636
1,2,R1F2,transport_ACC_AHA_130_80,Oracle-label logistic,0.6689930209371885,0.6377874276261373,0.6399202408346165,0.5971986000065366,0.4133486504353342
1,2,R1F2,transport_ESC_140_90,Oracle-label logistic,0.8085742771684945,0.522324569820252,0.4978304405874499,0.4238585630304806,0.2739022430712206
1,3,R1F3,canonical_bp_severity,GALIATSATOS/PLA-BN TAN,0.563872255489022,0.3951817603358372,0.3930785854423688,1.1682074877513875,0.5750470485760251
1,3,R1F3,transport_ACC_AHA_130_80,GALIATSATOS/PLA-BN TAN,0.6506986027944112,0.6274751243781094,0.6290616009477069,0.6209167080237848,0.4288301733127008
1,3,R1F3,transport_ESC_140_90,GALIATSATOS/PLA-BN TAN,0.7744510978043913,0.5348379948378668,0.5336694096424247,0.492703121185545,0.3176906307041467
1,3,R1F3,canonical_bp_severity,Operator-aware logistic EM,0.5828343313373253,0.4014845620095142,0.3836343357563531,0.8769482191768755,0.5101382959669694
