repeat,method,accuracy,balanced_accuracy,macro_f1,log_loss,brier
1,GALIATSATOS/PLA-BN TAN,0.5732226474269806,0.4034295929360998,0.40172414523619315,1.012336302457212,0.5538661435336419
1,Operator-aware logistic EM,0.5939713792753476,0.40137025181971325,0.38664074358754597,0.8759095031615564,0.5119416427838751
1,Oracle-label logistic,0.6017576014471555,0.4013644521789864,0.36843546216122897,0.8638792325105603,0.5080731105034302
2,GALIATSATOS/PLA-BN TAN,0.5666400001592031,0.3990157460094823,0.3966193212712893,0.9693675215377088,0.5484671594482347
2,Operator-aware logistic EM,0.5953707739058274,0.40801249538502943,0.39661625364292896,0.8710504284721461,0.5095848636594258
2,Oracle-label logistic,0.6015546175843726,0.4018418605810277,0.36964056566635195,0.8623406189134666,0.5074733494302697
3,GALIATSATOS/PLA-BN TAN,0.5704306242947803,0.3982261442438277,0.39595943777355147,0.9613185745177034,0.547525062826237
3,Operator-aware logistic EM,0.5917821386140979,0.39950011512198075,0.38655526615640207,0.8701483978517878,0.5103442422405505
3,Oracle-label logistic,0.5977677745207491,0.3979899940611216,0.3645620762249403,0.8624730036095289,0.5075108484740569
4,GALIATSATOS/PLA-BN TAN,0.5716252440283938,0.4050102295418504,0.40410277660249844,1.0015154306820804,0.5536117631561362
4,Operator-aware logistic EM,0.5969697693347105,0.4036793060642129,0.3859219333268917,0.8762039260008738,0.5133171893530785
4,Oracle-label logistic,0.6003586048242499,0.3999414444879374,0.3663326598130906,0.8629787959529077,0.5078411400286835
5,GALIATSATOS/PLA-BN TAN,0.5678401919988538,0.40070445331335014,0.3990201795883642,0.9830767536473092,0.5537226394309727
5,Operator-aware logistic EM,0.5951709741036372,0.40013565074823887,0.3806998893404749,0.8727357055572451,0.511194924669681
5,Oracle-label logistic,0.5985627946499822,0.39797471458420175,0.3644985451474737,0.8628920547758108,0.5079272501625292
