repeat,fold,split_id,definition,observed_class,canonical_class,probability
1,1,R1F1,HbA1c,0,0,0.9887005649717514
1,1,R1F1,HbA1c,0,1,0.46488294314381273
1,1,R1F1,HbA1c,0,2,0.2
1,1,R1F1,HbA1c,1,0,0.005649717514124294
1,1,R1F1,HbA1c,1,1,0.5317725752508361
1,1,R1F1,HbA1c,1,2,0.45454545454545453
1,1,R1F1,HbA1c,2,0,0.005649717514124294
1,1,R1F1,HbA1c,2,1,0.0033444816053511705
1,1,R1F1,HbA1c,2,2,0.34545454545454546
1,1,R1F1,FPG,0,0,0.9887005649717514
1,1,R1F1,FPG,0,1,0.19732441471571907
1,1,R1F1,FPG,0,2,0.01818181818181818
1,1,R1F1,FPG,1,0,0.005649717514124294
1,1,R1F1,FPG,1,1,0.7993311036789298
1,1,R1F1,FPG,1,2,0.45454545454545453
1,1,R1F1,FPG,2,0,0.005649717514124294
1,1,R1F1,FPG,2,1,0.0033444816053511705
1,1,R1F1,FPG,2,2,0.5272727272727272
1,1,R1F1,OGTT,0,0,0.9887005649717514
1,1,R1F1,OGTT,0,1,0.6588628762541806
1,1,R1F1,OGTT,0,2,0.16363636363636364
1,1,R1F1,OGTT,1,0,0.005649717514124294
1,1,R1F1,OGTT,1,1,0.3377926421404682
1,1,R1F1,OGTT,1,2,0.3090909090909091
1,1,R1F1,OGTT,2,0,0.005649717514124294
1,1,R1F1,OGTT,2,1,0.0033444816053511705
1,1,R1F1,OGTT,2,2,0.5272727272727272
1,2,R1F2,HbA1c,0,0,0.9887005649717514
1,2,R1F2,HbA1c,0,1,0.5757575757575758
1,2,R1F2,HbA1c,0,2,0.2982456140350877
1,2,R1F2,HbA1c,1,0,0.005649717514124294
1,2,R1F2,HbA1c,1,1,0.4208754208754209
1,2,R1F2,HbA1c,1,2,0.43859649122807015
1,2,R1F2,HbA1c,2,0,0.005649717514124294
1,2,R1F2,HbA1c,2,1,0.003367003367003367
1,2,R1F2,HbA1c,2,2,0.2631578947368421
1,2,R1F2,FPG,0,0,0.9887005649717514
1,2,R1F2,FPG,0,1,0.13804713804713806
1,2,R1F2,FPG,0,2,0.15789473684210525
1,2,R1F2,FPG,1,0,0.005649717514124294
1,2,R1F2,FPG,1,1,0.8585858585858586
1,2,R1F2,FPG,1,2,0.5087719298245614
1,2,R1F2,FPG,2,0,0.005649717514124294
1,2,R1F2,FPG,2,1,0.003367003367003367
1,2,R1F2,FPG,2,2,0.3333333333333333
1,2,R1F2,OGTT,0,0,0.9887005649717514
1,2,R1F2,OGTT,0,1,0.6632996632996633
1,2,R1F2,OGTT,0,2,0.05263157894736842
1,2,R1F2,OGTT,1,0,0.005649717514124294
1,2,R1F2,OGTT,1,1,0.3333333333333333
1,2,R1F2,OGTT,1,2,0.19298245614035087
1,2,R1F2,OGTT,2,0,0.005649717514124294
1,2,R1F2,OGTT,2,1,0.003367003367003367
1,2,R1F2,OGTT,2,2,0.7543859649122807
1,3,R1F3,HbA1c,0,0,0.9887005649717514
1,3,R1F3,HbA1c,0,1,0.42474916387959866
1,3,R1F3,HbA1c,0,2,0.12727272727272726
1,3,R1F3,HbA1c,1,0,0.005649717514124294
1,3,R1F3,HbA1c,1,1,0.5719063545150501
1,3,R1F3,HbA1c,1,2,0.45454545454545453
1,3,R1F3,HbA1c,2,0,0.005649717514124294
1,3,R1F3,HbA1c,2,1,0.0033444816053511705
1,3,R1F3,HbA1c,2,2,0.41818181818181815
1,3,R1F3,FPG,0,0,0.9887005649717514
1,3,R1F3,FPG,0,1,0.17725752508361203
1,3,R1F3,FPG,0,2,0.05454545454545454
1,3,R1F3,FPG,1,0,0.005649717514124294
1,3,R1F3,FPG,1,1,0.8193979933110368
1,3,R1F3,FPG,1,2,0.34545454545454546
1,3,R1F3,FPG,2,0,0.005649717514124294
1,3,R1F3,FPG,2,1,0.0033444816053511705
1,3,R1F3,FPG,2,2,0.6
1,3,R1F3,OGTT,0,0,0.9887005649717514
1,3,R1F3,OGTT,0,1,0.6923076923076923
1,3,R1F3,OGTT,0,2,0.05454545454545454
1,3,R1F3,OGTT,1,0,0.005649717514124294
