method,metric,repeat_mean,repeat_sd,ci95_low,ci95_high,n_repeats
GALIATSATOS/PLA-BN TAN,accuracy,0.5516774544567644,0.019151824255357143,0.5278973237789618,0.575457585134567,5
GALIATSATOS/PLA-BN TAN,balanced_accuracy,0.42078045938263997,0.011229081152329446,0.40683771358288406,0.4347232051823959,5
GALIATSATOS/PLA-BN TAN,macro_f1,0.41891709704024666,0.010536618343783376,0.4058341573799575,0.4320000367005358,5
GALIATSATOS/PLA-BN TAN,log_loss,1.2060348422711331,0.02826008859972818,1.170945307670802,1.2411243768714642,5
GALIATSATOS/PLA-BN TAN,brier,0.6311781411160551,0.010908625057845522,0.6176332941118249,0.6447229881202853,5
Operator-aware logistic EM,accuracy,0.6262351550627567,0.007121046618952018,0.6173932078464733,0.6350771022790401,5
Operator-aware logistic EM,balanced_accuracy,0.45428204369289327,0.005559158407761579,0.44737943683766396,0.4611846505481226,5
Operator-aware logistic EM,macro_f1,0.43827773231211664,0.008410352753825906,0.4278349000854971,0.44872056453873616,5
Operator-aware logistic EM,log_loss,0.8448759932903964,0.00510462583542168,0.8385377631662525,0.8512142234145403,5
Operator-aware logistic EM,brier,0.509084822038175,0.0037813023636841673,0.5043897150268656,0.5137799290494843,5
Oracle-label logistic,accuracy,0.6481855875124294,0.0039896587152612835,0.6432317719205696,0.6531394031042892,5
Oracle-label logistic,balanced_accuracy,0.4524295804912744,0.0031404767600813274,0.4485301635610858,0.456328997421463,5
Oracle-label logistic,macro_f1,0.43485900976995967,0.003303425099861946,0.4307572657526984,0.43896075378722094,5
Oracle-label logistic,log_loss,0.8073372854884594,0.0038696038461433525,0.8025325377053923,0.8121420332715265,5
Oracle-label logistic,brier,0.48618270501309785,0.003037810024557632,0.48241076567222213,0.48995464435397357,5
