repeat,method,accuracy,balanced_accuracy,macro_f1,log_loss,brier
1,GALIATSATOS/PLA-BN TAN,0.5284966510947262,0.4070017574717747,0.4070447155630517,1.2507679566797087,0.647413533831072
1,Operator-aware logistic EM,0.6217031575392582,0.45393751440819646,0.4368127896520808,0.8492597434705168,0.5142629755071205
1,Oracle-label logistic,0.6517457458584267,0.45567934308460833,0.43836777310195546,0.8085338453809114,0.48665200175586465
2,GALIATSATOS/PLA-BN TAN,0.5750942759047672,0.4319165131577045,0.4309742982315875,1.1898430498635681,0.6167322970974485
2,Operator-aware logistic EM,0.635789197200803,0.46262738370237366,0.45148442200628003,0.8370786810787845,0.5037731050343157
2,Oracle-label logistic,0.6492748728916906,0.4509697697963886,0.4332352280102739,0.8040655062264411,0.48412821485500246
3,GALIATSATOS/PLA-BN TAN,0.5653083431830548,0.4223285969848927,0.41698171790625915,1.2140388897285477,0.6308331735190756
3,Operator-aware logistic EM,0.6308906024277218,0.4555209816917037,0.43397457047256294,0.8439952804953963,0.5081155643872799
3,Oracle-label logistic,0.6419297949381813,0.44815671275583524,0.43045167970499587,0.8133802901197846,0.49108639371077123
4,GALIATSATOS/PLA-BN TAN,0.5376897243954147,0.41164502320066737,0.4110610011297906,1.1977485977102336,0.6315871344985382
4,Operator-aware logistic EM,0.6247518808277518,0.4518567220082976,0.44004432831350604,0.8443569139887485,0.5090804396356126
4,Oracle-label logistic,0.6468227612990376,0.4520250525755113,0.4343742311277734,0.8066513673705844,0.48573168363913855
5,GALIATSATOS/PLA-BN TAN,0.5517982777058592,0.4310104060981604,0.4285237523705444,1.1777757173736072,0.6293245666341412
5,Operator-aware logistic EM,0.6180409373182492,0.447467616653895,0.4290725511161533,0.8496893474185365,0.5101920256265464
5,Oracle-label logistic,0.651154762574811,0.45531702424402865,0.43786613690479975,0.8040554183445755,0.4833152311047124
