repeat,fold,split_id,n_train,n_test,n_train_groups,n_test_groups,group_overlap,environment_sizes,operator_rank,operator_condition_number,converged,termination_reason,iterations,best_start,canonical_labels_used
1,1,R1F1,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,23,1,False
1,2,R1F2,3918,980,3169,792,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,21,2,False
1,3,R1F3,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,19,1,False
1,4,R1F4,3919,979,3169,792,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,22,1,False
1,5,R1F5,3919,979,3170,791,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,11,0,False
2,1,R2F1,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,13,1,False
2,2,R2F2,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,19,2,False
2,3,R2F3,3919,979,3170,791,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,23,2,False
2,4,R2F4,3919,979,3170,791,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,20,0,False
2,5,R2F5,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,24,2,False
3,1,R3F1,3918,980,3169,792,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,22,2,False
3,2,R3F2,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,19,1,False
3,3,R3F3,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,14,1,False
3,4,R3F4,3919,979,3170,791,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,11,1,False
3,5,R3F5,3919,979,3169,792,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,31,1,False
4,1,R4F1,3918,980,3169,792,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,15,1,False
4,2,R4F2,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,11,2,False
4,3,R4F3,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,19,2,False
4,4,R4F4,3919,979,3170,791,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,22,0,False
4,5,R4F5,3919,979,3169,792,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,19,0,False
5,1,R5F1,3918,980,3168,793,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,22,2,False
5,2,R5F2,3918,980,3169,792,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,13,1,False
5,3,R5F3,3918,980,3169,792,0,"[2612, 1306]",3,2.414213562373096,True,tolerance,19,2,False
5,4,R5F4,3919,979,3169,792,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,24,2,False
5,5,R5F5,3919,979,3169,792,0,"[2613, 1306]",3,2.414213562373096,True,tolerance,17,1,False
