repeat,method,accuracy,balanced_accuracy,macro_f1,log_loss,brier
1,GALIATSATOS/PLA-BN TAN,0.5473654916512058,0.5525681366072971,0.5454784106555863,1.1273969198778748,0.6270267336811053
1,Operator-aware logistic EM,0.5702330574722227,0.5359188722796396,0.5476386916746867,0.8856344403239117,0.5382988102517815
1,Oracle-label logistic,0.5781957849534093,0.5380885126995969,0.551400935927021,0.8826562962907145,0.5373996129809673
2,GALIATSATOS/PLA-BN TAN,0.5481788997519335,0.5473737990526187,0.5421850927485303,1.1402644607411214,0.6300723183469829
2,Operator-aware logistic EM,0.5692097308790728,0.5388418599330735,0.5500911162834992,0.8858295433145622,0.5400812961291148
2,Oracle-label logistic,0.5749275604010757,0.5365917620860139,0.5492051125456572,0.88317457442012,0.5380024026167717
3,GALIATSATOS/PLA-BN TAN,0.5394040149256842,0.5421203231511719,0.535935739849501,1.1228182750055928,0.6290316930356546
3,Operator-aware logistic EM,0.5702328490129454,0.5429361576564304,0.553647185363423,0.887099028741436,0.5381881063610667
3,Oracle-label logistic,0.5722747076358633,0.5332370261279047,0.5460051787661268,0.8818793488306271,0.5372478610361412
4,GALIATSATOS/PLA-BN TAN,0.5483913197556858,0.5484062217292994,0.5428353319058961,1.1037152754956652,0.6224658714897485
4,Operator-aware logistic EM,0.5737016113902149,0.5412616779961507,0.553831118629284,0.8879817540994027,0.5400513709952213
4,Oracle-label logistic,0.5737041129015447,0.5339351044246756,0.546045367087226,0.8816109749679315,0.5376406408420626
5,GALIATSATOS/PLA-BN TAN,0.540425048466782,0.5419607337311256,0.53632944375377,1.14212036151479,0.6373288336656978
5,Operator-aware logistic EM,0.5714590064830836,0.5361921086652073,0.5485404642886508,0.8855102459739609,0.5395571060233376
5,Oracle-label logistic,0.5783992412082299,0.5404499736993837,0.5536802287375446,0.8833741087177713,0.538452584236044
